,0,1
0,2,1975
1,4,2011
2,41,1995
3,13,2006
4,3,1967
5,16,1984
6,31,2000
7,28,1997
8,26,1998
9,25,2000
10,8,1985
11,49,2014
12,55,2000
13,11,1977
14,53,1998
15,17,2004
16,37,1978
17,35,2004
18,33,2008
19,30,2008
20,23,2007
21,12,1990
22,19,1977
23,24,2009
24,6,1982
25,42,1973
26,50,2002
27,5,1995
28,52,1965
29,22,1977
30,51,1986
31,39,1989
32,7,1973
33,1,1981
34,60,1992
35,48,1998
36,38,2004
37,15,1997
38,21,1970
39,14,1991
40,58,2006
41,29,1996
42,34,2005
43,44,1988
44,43,1999
45,36,1987
46,18,1997
